image,cell_id,label,stage1_dead_prediction,dead_probability,borderline_ghost,dead_stage1_correct,dead_missed,stage2_morphology_prediction,final_prediction
Data_MC/images/PE_RBCs_NPs_1-10_1_3hrs_3.tif,19,Stressed,NotDead,2.377662930763691e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_2_15hrs_4.tif,4,Dead,Dead,0.9999973377255935,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_2_3hrs_1.tif,61,Stressed,NotDead,1.6233706349955135e-05,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_2_3hrs_2.tif,19,Stressed,NotDead,9.604408683916432e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_2_3hrs_2.tif,25,Stressed,NotDead,2.377666410868784e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_3_15hrs_1.tif,17,Dead,Dead,0.9999972229500359,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_3_15hrs_3.tif,5,Dead,Dead,0.999997597806404,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_3_15hrs_4.tif,8,Dead,Dead,0.9999963110660985,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_3_3hrs_1.tif,33,Crenated,NotDead,2.3776660063035138e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_3_3hrs_2.tif,1,Healthy,NotDead,3.027978503489237e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-10_3_3hrs_2.tif,34,Healthy,NotDead,1.4784319619209896e-05,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-10_3_3hrs_3.tif,15,Stressed,NotDead,2.657646226167376e-05,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_4_15hrs_1.tif,22,Dead,Dead,0.9999973381785906,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_4_15hrs_4.tif,17,Dead,Dead,0.9999971462028193,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_4_3hrs_2.tif,7,Stressed,NotDead,3.0125087719934385e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_4_3hrs_2.tif,11,Healthy,NotDead,2.95697021934771e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-10_4_3hrs_2.tif,60,Healthy,NotDead,5.7981374969040544e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-10_4_3hrs_2.tif,84,Dead,Dead,0.9999973741307916,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_4_3hrs_3.tif,30,Healthy,NotDead,2.9006961329791636e-05,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-10_4_3hrs_4.tif,14,Stressed,NotDead,2.371960566183162e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_5_15hrs_3.tif,21,Dead,Dead,0.9999971684067367,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_5_3hrs_1.tif,34,Stressed,NotDead,3.115714891532839e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_5_3hrs_1.tif,42,Healthy,NotDead,5.379970581365079e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-10_5_3hrs_1.tif,50,Crenated,NotDead,2.9390083324809524e-06,False,True,False,Crenated,Crenated
Data_MC/images/PE_RBCs_NPs_1-10_5_3hrs_4.tif,23,Stressed,NotDead,2.3776687804177854e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_6_15hrs_1.tif,21,Dead,Dead,0.9999973574316703,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_6_15hrs_3.tif,7,Dead,Dead,0.9999972507175258,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-10_6_3hrs_2.tif,53,Stressed,NotDead,2.377074992510053e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_6_3hrs_2.tif,61,Stressed,NotDead,2.4054725678013256e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-10_6_3hrs_3.tif,29,Crenated,NotDead,2.370190483103052e-06,False,True,False,Crenated,Crenated
Data_MC/images/PE_RBCs_NPs_1-200_1_15hrs_1.tif,6,Crenated,NotDead,2.4239354696753423e-06,False,True,False,Crenated,Crenated
Data_MC/images/PE_RBCs_NPs_1-200_1_15hrs_3.tif,21,Healthy,NotDead,3.3415700932959425e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-200_1_15hrs_3.tif,44,Dead,Dead,0.9999973364715775,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_1_15hrs_4.tif,64,Dead,Dead,0.9999952715343978,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_1_3hrs_4.tif,10,Stressed,NotDead,2.3996364157952144e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-200_2_15hrs_2.tif,27,Crenated,NotDead,2.4017981355983764e-06,False,True,False,Crenated,Crenated
Data_MC/images/PE_RBCs_NPs_1-200_2_15hrs_2.tif,65,Dead,Dead,0.9999976033068053,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_2_15hrs_3.tif,59,Dead,Dead,0.9999971589624059,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_2_3hrs_2.tif,59,Healthy,NotDead,2.377666149966373e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-200_2_3hrs_4.tif,59,Stressed,NotDead,2.3776648250262156e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-200_3_15hrs_1.tif,53,Dead,Dead,0.998071186788103,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_3_15hrs_1.tif,90,Healthy,NotDead,6.51804045648241e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-200_3_15hrs_2.tif,30,Stressed,NotDead,2.4018032700467984e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-200_3_15hrs_4.tif,3,Healthy,NotDead,2.4017899792339037e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-200_3_15hrs_4.tif,52,Dead,Dead,0.9999958621575152,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_3_3hrs_1.tif,42,Healthy,NotDead,3.0638653426562357e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-200_3_3hrs_1.tif,83,Crenated,NotDead,2.3776654067830805e-06,False,True,False,Crenated,Crenated
Data_MC/images/PE_RBCs_NPs_1-200_3_3hrs_4.tif,13,Healthy,NotDead,2.7975792947776412e-06,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-200_4_15hrs_1.tif,60,Dead,Dead,0.9999971186310159,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_4_15hrs_1.tif,68,Dead,Dead,0.9999974676342119,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_4_15hrs_3.tif,72,Dead,Dead,0.9999970628545006,False,True,False,,Dead
Data_MC/images/PE_RBCs_NPs_1-200_4_3hrs_1.tif,20,Healthy,NotDead,1.800677133323436e-05,False,True,False,Healthy,Healthy
Data_MC/images/PE_RBCs_NPs_1-200_4_3hrs_1.tif,50,Stressed,NotDead,2.463240534655853e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-200_4_3hrs_1.tif,58,Stressed,NotDead,2.3776686725041074e-06,False,True,False,Stressed,Stressed
Data_MC/images/PE_RBCs_NPs_1-200_4_3hrs_2.tif,14,Stressed,NotDead,2.465021556097291e-06,False,True,False,Stressed,Stressed
