image,cell_id,label,ml_prediction,ml_confidence,final_decision,review_flag,review_reason,crenation_score,texture_score,prob_Crenated,prob_Dead,prob_Healthy,prob_Stressed
Data_for_model/images/Control1_15_hrs_PE_2.tif,2,,Healthy,0.9,Healthy,True,healthy_but_irregular_or_textured; ,0.0194474466643364,0.9648205580911852,0.023333333333333334,0.006666666666666667,0.9,0.07
Data_for_model/images/Control1_15_hrs_PE_2.tif,3,,Healthy,0.5933333333333334,Healthy,True,low_confidence; ,0.048264867734229444,0.8003177588866808,0.09333333333333334,0.02,0.5933333333333334,0.29333333333333333
Data_for_model/images/Control1_15_hrs_PE_2.tif,4,,Healthy,0.9,Healthy,True,healthy_but_irregular_or_textured; ,0.0387753759691829,0.9676290865373378,0.023333333333333334,0.01,0.9,0.06666666666666667
Data_for_model/images/Control1_15_hrs_PE_2.tif,5,,Healthy,0.9766666666666667,Healthy,True,healthy_but_irregular_or_textured; ,-0.005408099473989236,1.0483586609521405,0.006666666666666667,0.01,0.9766666666666667,0.006666666666666667
Data_for_model/images/Control1_15_hrs_PE_2.tif,6,,Healthy,0.7933333333333333,Healthy,True,healthy_but_irregular_or_textured; ,0.06451433413927465,0.9332118286211496,0.07,0.02666666666666667,0.7933333333333333,0.11
Data_for_model/images/Control1_15_hrs_PE_2.tif,7,,Healthy,0.93,Healthy,True,healthy_but_irregular_or_textured; ,-0.021359507078455575,1.0817276357825472,0.02,0.013333333333333334,0.93,0.03666666666666667
Data_for_model/images/Control1_15_hrs_PE_2.tif,8,Healthy,Healthy,0.8533333333333334,Healthy,False,,0.0036088572109076456,0.7336098103211319,0.07333333333333333,0.07,0.8533333333333334,0.0033333333333333335
Data_for_model/images/Control1_15_hrs_PE_2.tif,9,Healthy,Healthy,0.9633333333333334,Healthy,False,,0.015769122760630472,0.938322426111574,0.006666666666666667,0.02,0.9633333333333334,0.01
Data_for_model/images/Control1_15_hrs_PE_2.tif,10,,Healthy,0.9766666666666667,Healthy,False,,0.03310437279097678,0.9398606938072736,0.0,0.0,0.9766666666666667,0.023333333333333334
Data_for_model/images/Control1_15_hrs_PE_2.tif,11,Healthy,Healthy,1.0,Healthy,False,,0.03504385784966191,0.8930149281041261,0.0,0.0,1.0,0.0
Data_for_model/images/Control1_15_hrs_PE_2.tif,13,Healthy,Healthy,0.9833333333333333,Healthy,True,healthy_but_irregular_or_textured; ,0.013374548926917806,0.987418922407291,0.0033333333333333335,0.006666666666666667,0.9833333333333333,0.006666666666666667
Data_for_model/images/Control1_15_hrs_PE_2.tif,14,,Healthy,0.8133333333333334,Healthy,True,healthy_but_irregular_or_textured; ,0.045763965636951176,1.0795510253733986,0.04,0.013333333333333334,0.8133333333333334,0.13333333333333333
Data_for_model/images/Control1_15_hrs_PE_2.tif,15,,Healthy,0.9266666666666666,Healthy,False,,0.031072454336078303,0.842008911143893,0.013333333333333334,0.056666666666666664,0.9266666666666666,0.0033333333333333335
Data_for_model/images/Control1_15_hrs_PE_2.tif,16,Healthy,Healthy,0.9533333333333334,Healthy,True,healthy_but_irregular_or_textured; ,0.06237613628769911,0.9037318454401048,0.013333333333333334,0.01,0.9533333333333334,0.023333333333333334
Data_for_model/images/Control1_15_hrs_PE_2.tif,17,,Healthy,0.99,Healthy,False,,-0.011890637996745834,0.9158335864290648,0.0033333333333333335,0.006666666666666667,0.99,0.0
Data_for_model/images/Control1_15_hrs_PE_2.tif,18,,Healthy,0.86,Healthy,True,healthy_but_irregular_or_textured; ,-0.006990472333824105,1.0664893500202202,0.08333333333333333,0.023333333333333334,0.86,0.03333333333333333
Data_for_model/images/Control1_15_hrs_PE_2.tif,19,,Healthy,0.9033333333333333,Healthy,True,healthy_but_irregular_or_textured; ,0.08616173684245465,1.0145432136378647,0.02,0.04,0.9033333333333333,0.03666666666666667
Data_for_model/images/Control1_15_hrs_PE_2.tif,20,,Healthy,0.7433333333333333,Healthy,False,,-0.012016908065045184,0.7807232421387289,0.09,0.13666666666666666,0.7433333333333333,0.03
Data_for_model/images/Control1_15_hrs_PE_2.tif,22,,Healthy,0.9433333333333334,Healthy,False,,0.0083479913157124,0.9273333775026956,0.01,0.043333333333333335,0.9433333333333334,0.0033333333333333335
Data_for_model/images/Control1_15_hrs_PE_2.tif,24,Healthy,Healthy,1.0,Healthy,True,healthy_but_irregular_or_textured; ,0.02965861839355266,0.9924145512275055,0.0,0.0,1.0,0.0
Data_for_model/images/Control1_15_hrs_PE_2.tif,26,,Healthy,0.64,Healthy,True,healthy_but_irregular_or_textured; ,0.09200561974505139,0.8057891941525223,0.14,0.07,0.64,0.15
Data_for_model/images/Control1_15_hrs_PE_2.tif,27,,Healthy,0.9866666666666667,Healthy,True,healthy_but_irregular_or_textured; ,0.02351153294035513,1.0254296848103144,0.0033333333333333335,0.006666666666666667,0.9866666666666667,0.0033333333333333335
Data_for_model/images/Control1_15_hrs_PE_2.tif,28,,Healthy,0.8366666666666667,Healthy,True,healthy_but_irregular_or_textured; ,0.021425080202079227,1.0978107778496042,0.03333333333333333,0.01,0.8366666666666667,0.12
Data_for_model/images/Control1_15_hrs_PE_2.tif,29,,Healthy,0.8133333333333334,Healthy,True,healthy_but_irregular_or_textured; ,0.06324435084323643,0.9103807718214184,0.04,0.0,0.8133333333333334,0.14666666666666667
Data_for_model/images/Control1_15_hrs_PE_2.tif,30,,Healthy,0.7333333333333333,Healthy,True,healthy_but_irregular_or_textured; ,0.074123830172944,0.9761282202801104,0.05333333333333334,0.013333333333333334,0.7333333333333333,0.2
