image,cell_id,label,cv_prediction,cv_confidence,correct,cv_prob_Crenated,cv_prob_Dead,cv_prob_Healthy,cv_prob_Stressed,custom_texture_entropy_std,crenation_radial_variation,crenation_max_radial_deviation
Data_for_model/images/Control1_15_hrs_PE_2.tif,8,Healthy,Healthy,0.9999307074814241,True,1.0555634647481488e-05,4.824346244987692e-05,0.9999307074814241,1.049342147851072e-05,0.7336098103211319,0.0435970211633316,0.4247809898837122
Data_for_model/images/Control1_15_hrs_PE_2.tif,9,Healthy,Healthy,0.9999315799657246,True,2.8982687705071083e-06,6.530403827563751e-05,0.9999315799657246,2.1772722921503052e-07,0.938322426111574,0.0449060834391785,0.4273871119776209
Data_for_model/images/Control1_15_hrs_PE_2.tif,11,Healthy,Healthy,0.9999996787094065,True,2.2209297918878854e-07,3.276703392495929e-08,0.9999996787094065,6.643058033060225e-08,0.8930149281041261,0.048586261353502,0.4334270961016724
Data_for_model/images/Control1_15_hrs_PE_2.tif,13,Healthy,Healthy,0.9999998968458792,True,2.629450880798151e-08,3.8159709289429274e-08,0.9999998968458792,3.869990253339675e-08,0.987418922407291,0.0442673281203492,0.4300868262539233
Data_for_model/images/Control1_15_hrs_PE_2.tif,16,Healthy,Healthy,0.9999946069327651,True,4.7008789068870387e-07,4.490408965804155e-06,0.9999946069327651,4.3257037826152096e-07,0.9037318454401048,0.049513686096994,0.4438641905307082
Data_for_model/images/Control1_15_hrs_PE_2.tif,24,Healthy,Healthy,0.9999998957894216,True,3.491480318163507e-08,4.5430279957686556e-08,0.9999998957894216,2.3865495403744565e-08,0.9924145512275055,0.0449356484462627,0.4371266702694127
Data_for_model/images/Control1_15_hrs_PE_2.tif,31,Healthy,Healthy,0.9999986082936221,True,1.9802801652279367e-07,1.176143868693802e-06,0.9999986082936221,1.7534492670877995e-08,0.966415996907502,0.0488308283832028,0.4413784463896973
Data_for_model/images/Control1_15_hrs_PE_2.tif,40,Healthy,Healthy,0.9999957770523663,True,4.848721933454427e-08,3.824232288316163e-06,0.9999957770523663,3.502281260896895e-07,0.910753649355307,0.0473677058202912,0.4241833466636053
Data_for_model/images/Control1_15_hrs_PE_2.tif,47,Dead,Dead,0.9999879392586599,True,5.794402158197786e-06,0.9999879392586599,2.7432744120252974e-07,5.99201174057305e-06,0.5865038694056522,0.0551775933931765,0.4848361067453451
Data_for_model/images/Control1_15_hrs_PE_2.tif,49,Dead,Dead,0.9968089618756317,True,1.4575007693187283e-08,0.9968089618756317,0.00319094345301681,8.009634401517969e-08,0.5684006334392034,0.0532958557007634,0.4612320806114905
Data_for_model/images/Control1_15_hrs_PE_2.tif,51,Dead,Dead,0.9999924083412839,True,5.459594034299084e-06,0.9999924083412839,1.5248311766114686e-06,6.072335052874014e-07,0.6290945818691352,0.0576063495039175,0.4488657398833912
Data_for_model/images/Control1_15_hrs_PE_3.tif,4,Healthy,Healthy,0.9999998366788179,True,3.08920710341836e-08,1.712294591271606e-08,0.9999998366788179,1.1530616511734197e-07,1.0217735968951618,0.0454140961651895,0.428740041469871
Data_for_model/images/Control1_15_hrs_PE_3.tif,5,Healthy,Healthy,0.9999982864473955,True,4.657315312550366e-07,1.1147939939704031e-06,0.9999982864473955,1.3302707924721013e-07,1.0400429791637318,0.0467553528750978,0.4341700463359162
Data_for_model/images/Control1_15_hrs_PE_3.tif,19,Healthy,Healthy,0.9999999740031689,True,3.688604958537324e-09,9.249263713097686e-09,0.9999999740031689,1.3058962561937742e-08,0.8911349960351673,0.0447870274386221,0.4286982019147188
